what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809436621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809450727
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334809452544
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334809482852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809504232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809510103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809511496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809515636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809516905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809577153
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334809577188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334809631584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809634628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809720354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809731847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334809731984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809742000
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334809742648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809747662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334809747791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809784371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334809788376
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334809789516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809797037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1334809797109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809808425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809818562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809837209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809848877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334809858582
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334809864923
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334809865048
